LMC V0008    SiO maser.
LMC V2719    In the region of the clusters NGC 1968, 1974.
LMC V2728    Not red.
LMC V2738    VB (AB <= 3", 0{deg}; AC 3", 160{deg}, {Delta} m=0).
LMC V2756    Sp B1epq+WN9.
LMC V2759    Sp (M0.5 - M2.5)I:.
LMC V2765    MinII 16.3.
LMC V2766    According to [V0445], P=252d or 450d.
LMC V2772    In the region of the cluster NGC 1984.
LMC V2779    The time scale of the variability is about a year.
LMC V2790    VB A (B 6", 145{deg}, {Delta} m=1.5).
LMC V2815    P<20d.
LMC V2832    Epoch of Max is given.
LMC V2846    According to [V0004], P=(2000d)xN.
LMC V2849    The star RA=05 29 DE=-67 20 (1875.0).
LMC V2851    P var? P may be decreasing very slightly.
LMC V2855    MinII 15.5.
LMC V2865    VB A (B 3", 260{deg}, {Delta} m=0, blue).
LMC V2867    In the region of a nebula.
LMC V2881    P=267d is possible. Sp M5.5/S1.
LMC V2883    MinII 16.0.
LMC V2886    B-V: +0.48, +0.95.
LMC V2888    B-V: +0.56, +0.91.
LMC V2889    Sp M0.5I: - M5.
LMC V2892    In the region of the cluster NGC 2001.
LMC V2897    Sp M6.5 - M8. According to [V0443], Max=2445954+632xE.
LMC V2898    In the region of the cluster NGC 2001.
LMC V2905    Sp M0.5 - M3.5. Vr =+26.4 km/s.
LMC V2910    MinII 15.8.
LMC V2912    In the region of the cluster NGC 2001.
LMC V2914    VB A (B ~10", 50{deg}, {Delta} m=0.5).
LMC V2924    MinII 17.1. RR type with a twice shorter P?
LMC V2925    P var. Quadratic term +1.2dx10^(-6)xExE.
LMC V2933    Epoch of Max is given.
LMC V2934    MinII 16.7.
LMC V2937    B-V: +0.43, +0.81. P var?
LMC V2944    B-V: +0.60, +1.33. P var. Before JD 2437000 Max=2431683.579+
LMC V2944    26.0846xE; since JD 2442000 - see Table.
LMC V2946    In the region of the cluster NGC 2004.
LMC V2947    VB A (B 10", 180{deg}, {Delta} m=0.5).
LMC V2957    Also possible is P=2285d :.
LMC V2963    MinII 15.0.
LMC V2968    In a small cluster.
LMC V2977    W Dor (V2983) is close.
LMC V2978    Alternative P value is 801d.
LMC V2979    VB (B 6"f).
LMC V2983    The star RA=05 30.4 DE=-66 44 (1875.0) [V0173]. HV 12435
LMC V2983    (V2977) is close.
LMC V2989    In the region of the cluster NGC 2004.
LMC V3010    VB A (B 6"p).
LMC V3018    A wrong star marked in the chart [V0016].
LMC V3022    According to [V0004], type I, 16.7 - 17.4 pg (LMV 1172).
LMC V3023    P var? Has decreased slightly between JD 2423000, 2432000?
LMC V3032    In the cluster NGC 2010.
LMC V3037    In the region of the cluster NGC 2004.
LMC V3055    VB A (B 9", 270{deg}, {Delta} m=0.5; C 7", 20{deg},
LMC V3055    {Delta} m=1).
LMC V3056    In the cluster NGC 2010.
LMC V3072    The discovery of two probable Cepheids, V3 and V4 in the cluster
LMC V3072    NGC 2010, was announced in [V0526]. According to [V0525], V3 has
LMC V3072    P=3.43d, <V>=15.8, {Delta} V=0.57. It is not clear to which of
LMC V3072    the two stars, with our numbers V3072 and V3074, these data refer.
LMC V3073    MinII 14.8.
LMC V3074    See V3072.
LMC V3075    MinII 16.5.
LMC V3082    2 stars?
LMC V3087    Erroneously named 232 in Table 1 of [V0110].
LMC V3116    In the region of the nebula LHa 120-N57.
LMC V3131    In the region of the nebula LHa 120-N148.
LMC V3135    VB A (B 8", 30{deg}, {Delta} m=0.5, blue).
LMC V3144    P var? [V0059]. Max=2430058.323+52.271xE [V0008] (1910 - 1950).
LMC V3145    MinII 14.7.
LMC V3147    Alternative P value is 191d:.
LMC V3148    In the region of the nebula LHa 120-N148.
LMC V3155    P var?
LMC V3159    Probably erroneously marked in [V0016].
LMC V3162    VB A (B 8", 330{deg}, {Delta} m=1.5).
LMC V3177    B-V: +1.83, +1.90.
LMC V3181    VB B (A 6", 20{deg}, {Delta} m=-0.5).
LMC V3184    VB A (B 4", 90{deg}, {Delta} m =0; A VB?).
LMC V3191    VB A (B p, 10"). Late supergiant? [V0077].
LMC V3195    In the region of the cluster NGC 2014. Possible short-period
LMC V3195    changes superimposed on variability with P >1 year.
LMC V3205    A probable misprint in [V0008] (P=2.480646d).
LMC V3206    B-V: +1.79, +1.89.
LMC V3212    Possible Ps according to [V0445]: 400d; 800d; 1000d.
LMC V3213    Sp O8III-V. Lx/Lopt ~5x10^(-4). In ~25"SE from D35 (chart [V0034]).
LMC V3213    The Table gives the elements of the ellipsoidal variability,
LMC V3213    MinII 14.08. Highly variable, outbursting, eclipsing (P=Popt)
LMC V3213    X-ray source. During the outbursts, X-ray pulses are observed
LMC V3213    with P=13.525s-13.544s, dP/dt=(-3.4+-1.2)x10^(-3)s/yr [V0192].
LMC V3213    The X-ray source shows alternating "on" (~60% of time) and "off"
LMC V3213    states, Xmax=2443393.66+(30.40)xN. During the "off" states of the
LMC V3213    X-ray source the amplitude of the ellipsoidal variability
LMC V3213    decreases from 0.20B to 0.07B.
LMC V3216    MinII 15.2.
LMC V3222    VB A (B 7", 130{deg}, {Delta} m=0.5; B is blue).
